rgi_index,volume,volume_change,area
64,1595644.8427734375,-1696376.5087890625,90000.0
65,40576458.16674805,-14372495.302764893,1122500.0
66,48746855.56210327,-22360462.96068573,1300000.0
67,8488066.696899414,-4041015.8861846924,307500.0
68,904643199.3656006,-251251762.06606174,11842500.0
69,48754294.15749359,-23248314.72902298,952500.0
70,28240431.841186523,-15610758.45300293,827500.0
71,39364560.77685547,-22445728.326171875,722500.0
72,9181400.052246094,-3317086.876953125,307500.0
73,6347558.396484375,-3874220.2388305664,280000.0
74,4314363.007019043,-3252357.778945923,227500.0
75,4918436.125137329,-3868534.976577759,262500.0
76,5802423.685058594,-3795328.315185547,330000.0
77,118497852.51647949,-17427146.443019867,2135000.0
78,32501568.203033447,-6560070.606689453,752500.0
79,3220960.8984375,770732.802942276,180000.0
80,294156228.08618164,-89021814.26620722,5440000.0
81,28210653.409301758,-11900053.512695312,632500.0
107,35687659.40368652,-10968082.026000977,820000.0
108,12569923.519042969,-1815913.4885559082,392500.0
